threshold,precision,recall,f1,false_positives,false_negatives,original_selected,formal_recall_constrained_selected
0.05,0.29012345679012347,0.9215686274509803,0.4413145539906103,115,4,False,False
0.1,0.3865546218487395,0.9019607843137255,0.5411764705882353,73,5,False,False
0.15000000000000002,0.4772727272727273,0.8235294117647058,0.60431654676259,46,9,False,False
0.2,0.5694444444444444,0.803921568627451,0.6666666666666666,31,10,True,True
0.25,0.6428571428571429,0.7058823529411765,0.6728971962616822,20,15,False,False
0.3,0.6730769230769231,0.6862745098039216,0.6796116504854369,17,16,False,False
0.35000000000000003,0.75,0.6470588235294118,0.6947368421052632,11,18,False,False
0.4,0.8157894736842105,0.6078431372549019,0.6966292134831461,7,20,False,False
0.45,0.8,0.5490196078431373,0.6511627906976745,7,23,False,False
0.5,0.8125,0.5098039215686274,0.6265060240963856,6,25,False,False
