accuracy,precision,recall,f1,average_precision,tn,fp,fn,tp,training_fraction,seed,training_size,training_failures
0.962,0.45161290322580644,0.5490196078431373,0.49557522123893805,0.5510260941843733,1415,34,23,28,0.2,200,1400,47
0.962,0.45588235294117646,0.6078431372549019,0.5210084033613446,0.5312741126750228,1412,37,20,31,0.2,201,1400,47
0.9593333333333334,0.4342105263157895,0.6470588235294118,0.5196850393700787,0.5854746257165035,1406,43,18,33,0.2,202,1400,47
0.968,0.5238095238095238,0.6470588235294118,0.5789473684210527,0.6151896563576937,1419,30,18,33,0.2,203,1400,47
0.964,0.47761194029850745,0.6274509803921569,0.5423728813559322,0.5973761659403839,1414,35,19,32,0.2,204,1400,47
0.9646666666666667,0.48717948717948717,0.7450980392156863,0.5891472868217055,0.6217888592973636,1409,40,13,38,0.2,205,1400,47
0.9626666666666667,0.46153846153846156,0.5882352941176471,0.5172413793103449,0.5369796394901786,1414,35,21,30,0.2,206,1400,47
0.9666666666666667,0.5068493150684932,0.7254901960784313,0.5967741935483871,0.6537606743625883,1413,36,14,37,0.2,207,1400,47
0.956,0.4175824175824176,0.7450980392156863,0.5352112676056338,0.5068729462341452,1396,53,13,38,0.2,208,1400,47
0.9653333333333334,0.4915254237288136,0.5686274509803921,0.5272727272727272,0.5616124872370315,1419,30,22,29,0.2,209,1400,47
0.952,0.3793103448275862,0.6470588235294118,0.4782608695652174,0.5051963611764416,1395,54,18,33,0.2,210,1400,47
0.9626666666666667,0.4657534246575342,0.6666666666666666,0.5483870967741935,0.6364173381332696,1410,39,17,34,0.2,211,1400,47
0.9626666666666667,0.4691358024691358,0.7450980392156863,0.5757575757575758,0.6743584116941608,1406,43,13,38,0.2,212,1400,47
0.9633333333333334,0.47297297297297297,0.6862745098039216,0.56,0.5840153385723215,1410,39,16,35,0.2,213,1400,47
0.9653333333333334,0.4897959183673469,0.47058823529411764,0.48,0.5252134256232592,1424,25,27,24,0.2,214,1400,47
0.96,0.44,0.6470588235294118,0.5238095238095238,0.48473398310075555,1407,42,18,33,0.2,215,1400,47
0.962,0.46153846153846156,0.7058823529411765,0.5581395348837209,0.6561358708876299,1407,42,15,36,0.2,216,1400,47
0.9673333333333334,0.5128205128205128,0.7843137254901961,0.6201550387596899,0.6717464448807001,1411,38,11,40,0.2,217,1400,47
0.9666666666666667,0.5074626865671642,0.6666666666666666,0.576271186440678,0.5861220723346087,1416,33,17,34,0.2,218,1400,47
