training_fraction,metric,mean,std,lower_95,upper_95,n
0.2,accuracy,0.9627333333333332,0.0038443396531031328,0.9610484771939176,0.9644181894727488,20
0.2,precision,0.46791026895674986,0.034649174701258306,0.4527245985974791,0.48309593931602063,20
0.2,recall,0.6509803921568628,0.0798630933596546,0.6159788482503252,0.6859819360634003,20
0.2,f1,0.5419795907767841,0.03973501649187252,0.5245649519760553,0.559394229577513,20
0.2,average_precision,0.5854419683361353,0.05841683643702491,0.5598396609446151,0.6110442757276554,20
0.4,accuracy,0.9662333333333333,0.004133870932780678,0.9644215845158153,0.9680450821508513,20
0.4,precision,0.5048491130608113,0.03801279522659539,0.4881892710090877,0.5215089551125348,20
0.4,recall,0.7431372549019608,0.03593050843912995,0.7273900152721,0.7588844945318216,20
0.4,f1,0.6003572199339813,0.032610002387885376,0.5860652562451758,0.6146491836227868,20
0.4,average_precision,0.6763836482762231,0.035504128736850805,0.6608232777900727,0.6919440187623735,20
0.6,accuracy,0.9686,0.003148563210799132,0.9672200813313229,0.9699799186686772,20
0.6,precision,0.5284651392771467,0.03405784827684249,0.5135386291499254,0.5433916494043679,20
0.6,recall,0.7676470588235295,0.03134351081302804,0.7539101595405691,0.7813839581064899,20
0.6,f1,0.6250366332336538,0.024406924632702862,0.6143398268839679,0.6357334395833396,20
0.6,average_precision,0.7206704325602832,0.02215161116163237,0.7109620609200468,0.7303788042005196,20
0.8,accuracy,0.9699,0.002651491911495333,0.9687379324334446,0.9710620675665553,20
0.8,precision,0.5397411636297007,0.028135192956723877,0.5274103716434844,0.552071955615917,20
0.8,recall,0.7970588235294118,0.0264409496571919,0.7854705664080782,0.8086470806507454,20
0.8,f1,0.6433051114666651,0.02506184006689157,0.6323212757726289,0.6542889471607014,20
0.8,average_precision,0.7553778141380877,0.017207239694963215,0.7478364088361259,0.7629192194400495,20
1.0,accuracy,0.9726666666666667,0.0,0.9726666666666667,0.9726666666666667,1
1.0,precision,0.5675675675675675,0.0,0.5675675675675675,0.5675675675675675,1
1.0,recall,0.8235294117647058,0.0,0.8235294117647058,0.8235294117647058,1
1.0,f1,0.672,0.0,0.672,0.672,1
1.0,average_precision,0.7803092553507491,0.0,0.7803092553507491,0.7803092553507491,1
