accuracy,precision,recall,f1,average_precision,tn,fp,fn,tp,severity,seed,missing_cells,mechanism
0.9726666666666667,0.5675675675675675,0.8235294117647058,0.672,0.7803092553507491,1417,32,9,42,0.0,42,0,MCAR-style synthetic
0.9713333333333334,0.5606060606060606,0.7254901960784313,0.6324786324786325,0.6933767941898239,1420,29,14,37,0.05,100,366,MCAR-style synthetic
0.972,0.5633802816901409,0.7843137254901961,0.6557377049180327,0.7110868102225911,1418,31,11,40,0.05,101,381,MCAR-style synthetic
0.9733333333333334,0.5774647887323944,0.803921568627451,0.6721311475409836,0.7531091827039273,1419,30,10,41,0.05,102,379,MCAR-style synthetic
0.974,0.5882352941176471,0.7843137254901961,0.6722689075630253,0.7606426451016528,1421,28,11,40,0.05,103,362,MCAR-style synthetic
0.974,0.5857142857142857,0.803921568627451,0.6776859504132231,0.7294307693403228,1420,29,10,41,0.05,104,398,MCAR-style synthetic
0.974,0.5857142857142857,0.803921568627451,0.6776859504132231,0.7669135253882784,1420,29,10,41,0.05,105,391,MCAR-style synthetic
0.972,0.5633802816901409,0.7843137254901961,0.6557377049180327,0.7292675587406989,1418,31,11,40,0.05,106,381,MCAR-style synthetic
0.9733333333333334,0.5774647887323944,0.803921568627451,0.6721311475409836,0.6860874816308447,1419,30,10,41,0.05,107,372,MCAR-style synthetic
0.9726666666666667,0.5714285714285714,0.7843137254901961,0.6611570247933884,0.7310437026345771,1419,30,11,40,0.05,108,375,MCAR-style synthetic
0.974,0.5833333333333334,0.8235294117647058,0.6829268292682927,0.7465923321209053,1419,30,9,42,0.05,109,344,MCAR-style synthetic
0.9733333333333334,0.5774647887323944,0.803921568627451,0.6721311475409836,0.7194963691743603,1419,30,10,41,0.05,110,387,MCAR-style synthetic
0.9693333333333334,0.5362318840579711,0.7254901960784313,0.6166666666666667,0.6981030327319033,1417,32,14,37,0.05,111,357,MCAR-style synthetic
0.974,0.5857142857142857,0.803921568627451,0.6776859504132231,0.767294835844046,1420,29,10,41,0.05,112,336,MCAR-style synthetic
